Pos,MP,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
SG,25.7,0.41,0.405,0.41200000000000003,0.752,0.5,3.0,3.5,2.0,0.6,0.1,1.6,2.3,13.3
SF,24.6,0.451,0.316,0.55,0.695,0.7,2.2,3.0,1.0,0.5,0.4,0.5,2.2,6.1
PF,18.0,0.545,0.429,0.546,0.7879999999999999,0.9,3.0,4.0,1.8,0.6,0.7,0.9,1.8,7.1
C,12.7,0.5479999999999999,0.0,0.5479999999999999,0.42200000000000004,1.1,2.9,4.0,0.4,0.4,0.5,0.6,2.0,3.4
PF,20.9,0.452,0.316,0.49,0.664,1.2,3.0,4.2,0.8,0.5,0.8,1.0,1.7,8.7
C,24.5,0.583,0.0,0.585,0.62,2.7,6.1,8.7,1.0,0.5,0.7,1.4,2.2,7.2
PF,11.8,0.45899999999999996,0.0,0.467,0.6970000000000001,1.2,1.7,2.9,0.9,0.3,0.3,0.8,1.8,2.1
SG,33.8,0.42700000000000005,0.309,0.47200000000000003,0.7859999999999999,0.5,2.8,3.3,4.7,1.9,0.5,2.5,2.1,13.8
PG,14.5,0.419,0.33299999999999996,0.442,0.716,0.5,1.6,2.2,3.2,0.6,0.0,1.3,1.4,5.1
C,5.7,0.325,0.2,0.34299999999999997,0.875,0.2,1.3,1.6,0.3,0.1,0.2,0.2,1.1,1.9
PF,25.6,0.414,0.36200000000000004,0.49,0.853,1.0,3.4,4.3,1.2,0.7,0.4,0.8,1.6,6.9
PF,6.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
PG,15.5,0.359,0.302,0.38799999999999996,0.718,0.2,1.1,1.3,2.9,0.8,0.1,0.9,0.9,4.2
SF,35.1,0.45899999999999996,0.3,0.486,0.7609999999999999,1.3,2.3,3.6,2.0,1.0,0.6,2.2,2.0,20.7
PF,24.9,0.40700000000000003,0.39,0.43,0.807,0.9,4.6,5.5,1.5,0.9,0.7,1.5,2.3,11.8
SG,17.4,0.41600000000000004,0.391,0.426,0.5,0.2,2.0,2.2,1.6,0.9,0.2,1.1,1.8,5.7
SF,9.1,0.3,0.267,0.32,0.75,0.2,1.3,1.5,0.4,0.1,0.2,0.5,0.9,1.8
PF,10.2,0.32,0.171,0.419,0.643,0.9,1.9,2.8,0.4,0.3,0.4,0.4,1.3,2.7
SF,22.7,0.41,0.39399999999999996,0.42700000000000005,0.784,0.3,2.4,2.7,1.3,0.5,0.3,0.8,2.1,7.2
C,11.7,0.628,0.0,0.636,0.5870000000000001,1.2,2.4,3.6,0.3,0.2,1.1,0.7,1.6,3.7
C,11.8,0.47600000000000003,0.0,0.47600000000000003,0.815,1.0,1.9,3.0,0.5,0.2,0.4,0.8,1.6,6.1
SF,35.1,0.434,0.33899999999999997,0.46299999999999997,0.8290000000000001,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8
